词牌名,韵律
宴山亭,中仄平平，平仄仄平，仄仄平平平仄。平仄仄平，仄仄平平，中仄仄平平仄。仄仄平平，仄平仄、中平平仄。平仄，仄仄仄平平，仄平平仄。平仄平仄平平，仄中仄平平，仄平平仄。平平仄仄，仄仄平平，平平仄平平仄。仄仄平平，中中仄、中平平仄。平仄，平仄仄、平平仄仄。
念奴娇,中平中仄，仄平中中仄，中平平仄。中仄中平平仄仄，中仄中平平仄。中仄平平，中平中仄，中仄平平仄。中平中仄，仄平平仄中仄。中仄中仄平平，中平中仄，中仄平平仄。中仄中平平仄仄，中仄中平平仄。中仄平平，中平中仄，中仄平平仄。中平平仄，仄平平仄平仄。
绕佛阁,仄平仄仄，平仄仄仄，平仄平仄。平仄平仄，仄平仄仄平平仄平仄。仄平仄仄，平仄仄仄，平仄平仄。平仄平仄。仄平仄仄平平仄平仄。仄仄仄平仄，仄仄平平平仄仄。平仄仄平平平平仄仄。仄仄仄平平，平仄平仄。仄平平仄。仄仄仄平平，平仄平仄。仄平平、仄平平仄。
绛都春,平平仄仄。仄仄仄仄平，平平平仄。仄仄仄平，平仄平平平平仄。中平中仄平平仄，仄中仄、平平平仄。仄平中仄，平平仄仄，仄平平仄。平仄，平平仄仄，仄平仄、仄仄平平平仄。仄仄仄平，中仄平平平平仄，中平平仄平平仄。仄中仄、中平中仄。仄平中仄平平，仄平仄仄。
桂枝香,平平仄仄，仄仄仄中平，中中平仄。中仄平平中仄，仄平平仄。中平中仄平平仄，仄平平、中平平仄。仄平平仄，中平中仄，仄平平仄。仄中中、平平仄仄。仄中中平中，中中平仄。中仄平平中仄，仄平平仄。中平中仄平平仄，仄平平中仄平仄。仄平平仄，中平中仄，仄平平仄。
翠楼吟,仄仄平平，平平仄仄，平平仄仄平仄。平平平仄仄，仄平仄平平平仄。平平平仄。仄仄仄平平，平平平仄。平平仄，仄平平仄，仄平平仄。仄仄，平仄平平，仄仄平平仄，仄平平仄。仄平平仄仄，仄平仄平平平仄。平平平仄。仄仄仄平平，平平平仄。平平仄，仄平平仄，仄平平仄。
霓裳中序第一,平平仄仄仄。仄仄平平平仄仄。平仄仄平仄仄。仄平仄仄平，平平平仄。平平仄仄，仄仄平平仄平仄。平平仄，仄平仄仄，仄仄仄平仄。平仄，仄平平仄。仄仄仄平平仄仄。平平平仄仄仄，仄仄平平，仄仄平仄。仄平平仄仄，仄仄仄平平仄仄。平平仄，平平平仄，仄仄仄平仄。
水龙吟,仄平中仄平平，中平中仄平平仄。中平仄仄，中平中仄，中平中仄。中仄平平，中平中仄，中平平仄。仄中平中仄，中平中仄，中平仄，平平仄。中仄中平中仄（增韵），仄平平、中平平仄。中平中仄，中平平仄，中平平仄。中仄平平，中平中仄，中平平仄。仄平平仄仄，中平中仄，仄平平仄。
石州慢,中仄平平，平仄仄平，平仄平仄。平平中仄平平，仄仄中平平仄。中平中仄，仄中中仄平平，中平中仄平平仄。中仄仄平平，仄平平平仄。平仄，中平平仄，中仄平平，仄平平仄。中仄平平，仄仄平平平仄。中平中仄，仄中中仄平平，中平中仄平平仄。中仄仄平平，仄平平平仄。
瑞鹤仙,仄平平仄仄，平仄仄、仄仄平平仄仄。平平仄平仄，仄平平平仄，平平平仄。平平仄仄，仄仄平、平仄仄仄。仄平平仄仄，平仄仄平，仄仄平仄。仄仄平平仄仄，仄仄平平，仄平平仄。平平仄仄，平平仄，仄平仄。仄平平仄仄，平平平仄，平平平仄仄仄。仄平平仄仄，平仄仄平仄仄。
宴清都,仄仄平平仄。平平仄、仄平平仄平仄。平平平仄，平平仄仄，仄平平仄。平平仄仄平平，仄仄仄、平平仄仄。仄仄仄、仄仄平平，平平仄仄平仄。平平仄仄平平，平平仄仄，平仄平仄。平平仄仄，平平仄仄，仄平平仄。平平仄平平仄，仄仄仄、平平仄仄。仄仄平、仄仄平平，平平仄仄。
齐天乐,仄平平仄平平仄（增韵），平平仄平平仄。仄仄平平，平平仄仄，平仄平平平仄。平平仄仄。仄平仄平平，仄平平仄。仄仄平平，仄平中仄仄平仄。平平仄平仄仄（增韵），仄平平仄仄，平仄平仄。仄仄平平，平平仄仄，中仄平平中仄。平平仄仄。仄中仄平平，仄平平仄。仄仄平平，仄平平仄仄。
雨霖铃,平平平仄。仄平平仄，仄仄平仄。平平仄仄平仄，平平仄仄，平平平仄。仄仄平平仄仄，仄平仄平仄。仄仄仄、平仄平平，仄仄平平仄平仄。平平仄仄平平仄，仄平平、仄仄平平仄。平平仄仄平仄，平仄仄、仄平平仄。仄仄平平，平仄、平平仄仄平仄。仄仄仄、平仄平平，仄仄平平仄。
眉妩,仄平平平仄，仄仄平平，平仄仄平仄。仄仄平平仄，平平仄，平平平仄平仄。仄平仄仄，仄仄平、平仄平仄。仄平仄、仄仄平平仄，仄平仄平仄。平仄平平平仄。仄仄平中仄，平仄平仄。中仄平平仄，平平仄、平平平仄平仄。仄平仄仄，仄仄平、平仄平仄。仄平仄平平，平仄仄平仄仄。
