词牌名,韵律,中,平,仄,总数,分段字数
多丽,仄平平，中平中仄平平。仄平平、平平仄仄，中中中仄平平。仄平平、中平中仄，中中仄、中仄平平。中仄平平，平平仄仄，仄平平仄仄平平。仄中仄、中平平仄，中仄仄平平。平平仄、中平中仄，中仄平平。仄平平、平平仄仄，仄中平仄平平。仄平平、仄平仄仄，中中中、平仄平平。中仄平平，中平仄仄，中平平仄仄平平。仄中仄、中平中仄，平仄仄平平。平平仄、中平中仄，中仄平平。,30,62,47,139,"[3, 6, 3, 4, 6, 3, 4, 3, 4, 4, 4, 7, 3, 4, 5, 3, 4, 4, 3, 4, 6, 3, 4, 3, 4, 4, 4, 7, 3, 4, 5, 3, 4, 4]"
六州歌头,平平中仄，中仄仄平平。平中仄，平平仄，仄平平。仄平平。中仄中平仄，中平仄，平中仄，中中仄，平中仄，仄平平。中仄中平，中仄平平仄，中仄平平。仄中平中仄，中仄仄平平。中仄平平，仄平平。仄平平仄，中平仄，平中仄，仄平平。中中仄，平中仄，仄平平。仄平平。中仄平平仄，中中仄，仄平平。平中仄，平中仄，仄平平。中仄中平中仄，中平仄、中仄平平。仄中平中仄，中仄仄平平。中仄平平。,37,57,49,143,"[4, 5, 3, 3, 3, 3, 5, 3, 3, 3, 3, 3, 4, 5, 4, 5, 5, 4, 3, 4, 3, 3, 3, 3, 3, 3, 3, 5, 3, 3, 3, 3, 3, 6, 3, 4, 5, 5, 4]"
如梦令,中仄中平平仄，中仄中平平仄。中仄仄平平，中仄仄平平仄。平仄，〖平仄〗，中仄仄平平仄。,7,12,14,33,"[6, 6, 5, 6, 2, 2, 6]"
归自谣,平仄仄，中仄中平平仄仄，中平中仄平平仄。平平中仄平中仄。平平仄，中平中仄平平仄。,8,14,12,34,"[3, 7, 7, 7, 3, 7]"
天仙子,中仄中平平仄仄，仄平平仄平平仄。平平中仄仄平平，平仄仄，仄平仄，仄仄中平平仄仄。,4,14,16,34,"[7, 7, 7, 3, 3, 7]"
生查子,中仄仄平平，中仄平平仄。中仄仄平平，中仄平平仄。中仄仄平平，中仄平平仄。中仄仄平平，中仄平平仄。,8,16,16,40,"[5, 5, 5, 5, 5, 5, 5, 5]"
醉花间,平平仄，仄平〖仄〗，平仄平平仄。平仄仄平平，仄仄平平仄。平平平仄仄，仄仄平平仄。平平仄仄平，平仄平平仄。,0,22,19,41,"[3, 3, 5, 5, 5, 5, 5, 5, 5]"
点绛唇,中仄平平，中平中仄（增韵）平平仄。仄平平仄，中仄平平仄。中仄平平，中仄平平仄。平中仄，仄平平仄，中仄平平仄。,8,18,15,41,"[4, 7, 4, 5, 4, 5, 3, 4, 5]"
霜天晓角,中平中仄，中仄平平仄。平仄仄平平仄，中中仄、平平仄。中平平仄仄，中平平仄仄。平仄仄平平仄，中中仄、平平仄。,9,17,17,43,"[4, 5, 6, 3, 3, 5, 5, 6, 3, 3]"
伤春怨,仄仄平平仄。仄仄平平平仄。仄仄仄平平，仄仄平平平仄。仄平平平仄。仄仄平平仄。仄仄仄平平，仄仄仄、平平仄。,0,19,24,43,"[5, 6, 5, 6, 5, 5, 5, 3, 3]"
卜算子,中仄仄平平，中仄平平仄。中仄平平仄仄平，中仄平平仄。中仄仄平平，中仄平平仄。中仄平平仄仄平，中仄平平仄。,8,18,18,44,"[5, 5, 7, 5, 5, 5, 7, 5]"
谒金门,平中仄，平仄仄平平仄。中仄中平平仄仄，仄平平仄仄。中仄中平中仄，中仄中平平仄。中仄中平平仄仄，仄平平仄仄。,10,15,20,45,"[3, 6, 7, 5, 6, 6, 7, 5]"
好事近,中仄仄平平，中仄仄平平仄。中仄仄平平仄，仄中平平仄。中平中仄仄平平，中中仄平仄。中仄仄平平仄，仄中平平仄。,10,16,19,45,"[5, 6, 6, 5, 7, 5, 6, 5]"
忆少年,平平中仄，平平仄仄，平平平仄。平平仄中仄，仄平平平仄。仄仄平平平仄仄，仄平平、仄平平仄。平平仄平仄，仄平平中仄。,3,24,19,46,"[4, 4, 4, 5, 5, 7, 3, 4, 5, 5]"
忆秦娥,平中仄，中平中仄平平仄。〖平平仄〗，中平中仄，仄平平仄。中平中仄平平仄，中平中仄平平仄。〖平平仄〗，中平中仄，仄平平仄。,11,20,15,46,"[3, 7, 3, 4, 4, 7, 7, 3, 4, 4]"
烛影摇红,仄仄平平，仄仄平，仄仄平、平平仄。平平平仄仄平平，平仄平平仄。平仄平平仄仄，仄平平、平平仄仄。仄平平仄，仄仄平平，平平平仄。,0,28,22,50,"[4, 3, 3, 3, 7, 5, 6, 3, 4, 4, 4, 4]"
醉花阴,中仄中平平仄仄，中仄平平仄。中仄仄平平，中仄平平，中仄平平仄。中平中仄平平仄，仄仄平平仄。中仄仄平平，中仄平平，中仄平平仄。,11,21,20,52,"[7, 5, 5, 4, 5, 7, 5, 5, 4, 5]"
望江东,平仄平平仄平仄，仄中仄、平平仄。中平中仄仄平仄，仄仄仄、平平仄。平平仄仄平平仄，仄中仄、平平仄。中平中仄仄平仄，仄中仄、平平仄。,7,20,25,52,"[7, 3, 3, 7, 3, 3, 7, 3, 3, 7, 3, 3]"
木兰花,仄仄仄平平仄仄，平仄仄平平仄仄。平仄仄，仄平平，仄仄仄平平仄仄。仄仄仄平平仄仄，平仄仄平平仄仄。平平仄仄仄平平，平仄仄平平仄仄。,0,22,33,55,"[7, 7, 3, 3, 7, 7, 7, 7, 7]"
鹊桥仙,中平中仄（增韵），中平中仄（增韵），中仄中平中仄。中平中仄仄平平，仄中仄、平平中仄。中平中仄（增韵），中平中仄（增韵），中仄中平中仄。中平中仄仄平平，仄中仄、平平中仄。,22,16,18,56,"[4, 4, 6, 7, 3, 4, 4, 4, 6, 7, 3, 4]"
夜游宫,仄仄平平仄仄，仄中仄、中平平仄。中仄平平仄中仄。仄平平，仄平平，平仄仄。仄仄平平仄，仄中仄、中平平仄。中仄平平仄中仄。仄平平，仄平平，平仄仄。,8,22,27,57,"[6, 3, 4, 7, 3, 3, 3, 5, 3, 4, 7, 3, 3, 3]"
踏莎行,『中仄平平，中平中仄』，中平中仄平平仄。中平中仄仄平平，中平中仄平平仄。『中仄平平，中平中仄』，中平中仄平平仄。中平中仄仄平平，中平中仄平平仄。,18,24,16,58,"[4, 4, 7, 7, 7, 4, 4, 7, 7, 7]"
钗头凤,平平仄，平平仄，仄平平仄平平仄。平平仄，平平仄，中平平仄，仄平平仄。仄，〖仄〗，〖仄〗。平平仄，平平仄，仄平平仄平平仄。平平仄，平平仄，中平平仄，仄平平仄。仄，〖仄〗，〖仄〗。,2,32,26,60,"[3, 3, 7, 3, 3, 4, 4, 1, 1, 1, 3, 3, 7, 3, 3, 4, 4, 1, 1, 1]"
蝶恋花,中仄中平平仄仄。中仄平平，中仄平平仄。中仄中平平仄仄，中平中仄平平仄。中仄中平平仄仄。中仄平平，中仄平平仄。中仄中平平仄仄，中平中仄平平仄。,16,22,22,60,"[7, 4, 5, 7, 7, 7, 4, 5, 7, 7]"
渔家傲,中仄中平平仄仄，中平中仄平平仄。中仄中平平仄仄。平中仄，中平中仄平平仄。中仄中平平仄仄，中平中仄平平仄。中仄中平平仄仄。平中仄，中平中仄平平仄。,18,22,22,62,"[7, 7, 7, 3, 7, 7, 7, 7, 3, 7]"
苏幕遮,仄平平，平仄仄。中仄平平，中仄平平仄。中仄平平平仄仄。中仄平平，中仄平平仄。仄平平，平仄仄。中仄平平，中仄平平仄。中仄平平平仄仄。中仄平平，中仄平平仄。,10,28,24,62,"[3, 3, 4, 5, 7, 4, 5, 3, 3, 4, 5, 7, 4, 5]"
淡黄柳,平平仄仄，平仄平平仄。仄仄平平平仄仄。仄仄平平仄仄，平仄平平仄平仄。仄平仄，平平仄平仄。仄平仄，仄平仄。仄平平仄仄平平仄。仄仄平平，仄平平仄，平仄平平仄仄。,0,31,34,65,"[4, 5, 7, 6, 7, 3, 5, 3, 3, 8, 4, 4, 6]"
锦缠道,仄仄平平，仄仄仄平平仄。仄平平、仄平平仄。仄平平仄平平仄。仄仄平平，仄仄平平仄。仄平平仄平，仄平平仄。仄平平、仄平平仄。仄平平、平仄平平，仄仄平平仄，仄仄平平仄。,0,34,32,66,"[4, 6, 3, 4, 7, 4, 5, 5, 4, 3, 4, 3, 4, 5, 5]"
酷相思,仄仄平平平仄仄。仄中仄、平平仄。仄平仄平平平仄仄。中仄仄、平平仄。〖中仄仄、平平仄〗。仄仄平平平仄仄。仄中仄、平平仄。仄平仄平平平仄仄。中仄仄、平平仄。〖中仄仄、平平仄〗。,6,26,34,66,"[7, 3, 3, 8, 3, 3, 3, 3, 7, 3, 3, 8, 3, 3, 3, 3]"
解佩令,平平中仄，平平中仄，仄平平、平平平仄。仄仄平平，仄仄中、中平平仄。仄平平、仄平仄仄。平平中仄，平平中仄，仄平平、平平平仄。仄仄平平，仄仄中、中平平仄。仄平平、仄平仄仄。,8,32,26,66,"[4, 4, 3, 4, 4, 3, 4, 3, 4, 4, 4, 3, 4, 4, 3, 4, 3, 4]"
青玉案,中平中仄平平仄，仄中仄、平平仄。仄仄平平平仄仄。中平平仄，中平中仄，中仄平平仄。中平中仄平平仄，中仄平平仄平仄。仄仄平平平仄仄。中平平仄，中平中仄，中仄平平仄。,14,27,26,67,"[7, 3, 3, 7, 4, 4, 5, 7, 7, 7, 4, 4, 5]"
千秋岁,仄平平仄，平仄平平仄。平仄仄，平平仄。平平平仄仄，平仄平平仄。平仄仄，仄平仄仄平平仄。仄仄平平仄，平仄平平仄。平仄仄，平平仄。仄平平仄仄，仄仄平平仄。平仄仄，仄平仄仄平平仄。,0,34,37,71,"[4, 5, 3, 3, 5, 5, 3, 7, 5, 5, 3, 3, 5, 5, 3, 7]"
离亭燕,中仄中平平仄，平仄仄平平仄。中仄仄平平仄仄，仄仄中平平仄。仄仄仄平平，中仄中平平仄。中仄中平平仄，平仄仄平平仄。中仄仄平平仄仄，仄仄中平平仄。仄仄仄平平，中仄中平平仄。,12,26,34,72,"[6, 6, 7, 6, 5, 6, 6, 6, 7, 6, 5, 6]"
粉蝶儿,仄仄平平仄平仄平仄仄，仄平平、仄平平仄。仄平平、仄仄仄、仄平平仄。仄平平、平仄仄平平仄。平平平仄平仄仄仄平仄。仄平平、仄平平仄。仄平平、平仄仄、仄平平仄。仄平平、平仄仄平平仄。,0,36,36,72,"[10, 3, 4, 3, 3, 4, 3, 6, 10, 3, 4, 3, 3, 4, 3, 6]"
御街行,平平仄仄平平仄。仄仄仄、平平仄。平平平仄仄平平，平仄平平平仄。平平中仄，中平平仄，平仄平平仄。平平仄仄平平仄。仄仄仄、平平仄。平平平仄仄平平，平仄平平平仄。平平中仄，中平平仄，平仄ˇ平平仄。,4,44,30,78,"[7, 3, 3, 7, 6, 4, 4, 5, 7, 3, 3, 7, 6, 4, 4, 5]"
祝英台近,仄平平，平仄仄，平仄仄平仄。中仄平平，中仄仄平仄。中平中仄平平，中平中仄，仄中仄、中平平仄。仄平仄，中中平仄平平，中平仄平仄。中仄平平，中中仄平仄。中平中仄平平，中平中仄，仄中仄、中平平仄。,20,29,28,77,"[3, 3, 5, 4, 5, 6, 4, 3, 4, 3, 6, 5, 4, 5, 6, 4, 3, 4]"
蓦山溪,平平中仄，中仄平平仄。中仄仄平平，仄中中、平平中仄。仄平平仄，中仄仄平平，平仄仄。平仄仄，中仄平平仄。平平中仄，中仄平平仄。中仄仄平平，仄中中、平平中仄。仄平平仄，中仄仄平平，平仄仄，平仄仄。中仄平平仄。,16,32,34,82,"[4, 5, 5, 3, 4, 4, 5, 3, 3, 5, 4, 5, 5, 3, 4, 4, 5, 3, 3, 5]"
