词牌名,作者,韵脚
小镇西犯,柳永,"[9,16,22,26,34,37,46,53,59,63,71]"
千秋岁,秦观,"[4,9,15,25,35,40,45,51,61,71]"
惜奴娇,晁补之,"[9,16,26,28,35,45,52,62,74]"
卓牌子近,袁去华,"[10,17,27,36,39,45,54,64,71]"
三登乐,范成大,"[11,18,28,36,46,53,63,71]"
檐前铁,无名氏,"[11,25,37,49,59,71]"
忆帝京,柳永,"[7,13,23,33,40,47,62,72]"
于飞乐,晏几道,"[10,16,26,37,51,61,72]"
撼庭竹,黄庭坚,"[7,12,19,26,36,43,48,67,77]"
粉蝶儿,毛滂,"[10,17,27,36,46,53,63,72]"
绕池游,无名氏,"[10,18,28,32,36,40,46,54,58,64,72]"
师师令,张先,"[4,9,23,30,35,42,47,61,68,73]"
隔浦莲近拍,周邦彦,"[6,11,22,27,30,35,38,48,58,65,67,73]"
郭郎儿近拍,柳永,"[2,15,17,21,34,36,46,59,73]"
临江仙引,柳永,"[10,16,26,39,52,62,74]"
碧牡丹,晏几道,"[5,10,20,29,35,38,43,49,59,68,74]"
百媚娘,张先,"[6,12,25,32,37,43,49,62,69,74]"
风入松,晏几道,"[7,11,25,37,44,48,62,74]"
传言玉女,晁冲之,"[10,19,29,37,47,56,66,74]"
枕屏儿,无名氏,"[10,20,30,37,47,57,67,74]"
剔银灯,柳永,"[6,13,27,31,38,44,50,64,68,75]"
隔帘听,柳永,"[11,18,27,30,37,40,44,49,56,65,68,75]"
越溪春,欧阳修,"[12,26,38,44,49,63,75]"
长生乐,晏殊,"[7,12,21,31,42,50,56,64,75]"
诉衷情近,柳永,"[10,22,37,40,46,55,70,75]"
下水船,黄庭坚,"[5,11,21,24,36,39,44,50,60,63,75]"
解蹀躞,周邦彦,"[11,20,36,39,45,50,59,75]"
扑蝴蝶,曹组,"[9,18,36,39,48,57,75]"
千年调,辛弃疾,"[10,20,29,38,57,66,75]"
蕊珠闲,赵彦端,"[12,22,30,36,39,45,51,61,69,75]"
瑞云浓,杨无咎,"[10,17,28,38,49,56,67,75]"
番枪子,韩玉,"[7,15,28,36,46,54,67,75]"
荔枝香,柳永,"[9,20,31,40,49,59,70,76]"
婆罗门引,曹组,"[11,17,28,37,41,47,57,69,76]"
御街行,柳永,"[7,12,25,38,45,50,63,76]"
韵令,程大昌,"[8,13,21,29,38,46,51,59,67,76]"
春声碎,张先,"[11,24,38,43,49,61,64,76]"
凤楼春,欧阳炯,"[5,9,12,19,25,37,40,44,58,69,77]"
祝英台近,程核,"[11,20,37,40,51,60,77]"
四园竹,周邦彦,"[9,21,42,45,57,71,87]"
侧犯,周邦彦,"[11,13,21,31,33,41,50,53,61,69,77]"
离亭宴,张先,"[5,12,19,26,38,44,51,58,65,77]"
阳关引,寇准,"[5,10,20,30,40,48,58,68,78]"
一丛花,苏轼,"[7,12,26,39,46,51,65,78]"
甘州令,柳永,"[10,17,27,40,48,55,65,78]"
山亭柳,晏殊,"[4,9,15,27,37,51,57,69,79]"
忆黄梅,王观,"[6,12,20,32,38,41,47,54,58,70,79]"
