词牌名,作者,韵脚
定风波,孙光宪,"[1]"
定风波,蔡伸,"[1]"
定风波,李泳,"[1]"
定风波,曹冠,"[1]"
定风波,苏轼,"[7,14,30,46,62]"
定风波,京镗,"[7,14,30,46,62]"
定风波,陈允平,"[7,14,30,44,60]"
金蕉叶,袁去华,"[4,11,18,23,29,36,43,48]"
金蕉叶,袁去华,"[4,11,17,22,28,35,41,46]"
金蕉叶,蒋捷,"[4,11,17,22,28,35,46]"
渔家傲,周紫芝,"[7,14,21,34,41,48,55,68]"
渔家傲,杜安世,"[7,14,38,45]"
渔家傲,蔡伸,"[7,16,23,26,33,40,49,56,59,66]"
摊破南乡子,赵长卿,"[5,12,31,36,43,62]"
献衷心,顾夐,"[10,16,26,35,43,51,60,69]"
握金钗,无名氏,"[10,17,24,32,42,49,56,64]"
侍香金童,蔡伸,"[9,17,24,32,42,49,56,64]"
侍香金童,赵长卿,"[9,17,24,32,42,50,57,65]"
淡黄柳,张炎,"[4,9,16,22,29,32,37,43,65]"
淡黄柳,王沂孙,"[4,9,16,29,32,37,43,65]"
锦缠道,无名氏,"[10,17,24,33,42,49,67]"
锦缠道,江衍,"[10,17,33,43,50,66]"
庆春泽,无名氏,"[12,21,35,48,62,71,85,98]"
行香子,苏轼,"[4,8,15,23,33,48,56,66]"
行香子,苏轼,"[4,8,15,23,33,41,48,56,66]"
行香子,秦观,"[4,8,15,23,33,37,41,48,56,66]"
行香子,韩玉,"[8,15,23,33,37,41,48,56,66]"
行香子,杜安世,"[8,15,25,34,42,49,59,68]"
行香子,赵长卿,"[4,8,15,23,32,36,40,47,55,64]"
行香子,李清照,"[4,8,15,23,33,48,56,69]"
解佩令,许冲元,"[8,15,26,33,41,48,59,66]"
解佩令,王庭珪,"[8,15,26,33,37,41,48,59,66]"
解佩令,史达祖,"[4,8,15,26,33,37,52,63,70]"
解佩令,蒋捷,"[4,31,38,42,46,53,64,71]"
垂丝钓,杨无咎,"[4,10,18,21,26,29,34,44,48,53,58,61,66]"
垂丝钓,吴文英,"[10,18,21,26,29,34,44,48,53,58,61,66]"
垂丝钓,袁去华,"[4,10,19,22,27,30,45,49,54,59,62,67]"
谢池春,刘因,"[10,17,21,25,32,42,49,53,57,64]"
谢池春,无名氏,"[8,15,24,31,41,48,57,64]"
胜胜令,俞克成,"[8,15,25,32,36,42,49,56,59,66]"
青玉案,苏轼,"[7,13,20,33,40,47,54,67]"
青玉案,李弥逊,"[7,13,20,33,40,48,55,68]"
青玉案,毛滂,"[7,13,20,33,40,46,53,66]"
青玉案,史达祖,"[7,13,20,33,40,46,53,61,66]"
青玉案,张炎,"[7,13,20,24,36,43,49,56,60,72]"
青玉案,吴潜,"[7,14,21,34,41,48,55,68]"
青玉案,胡铨,"[7,14,21,34,41,49,56,69]"
青玉案,李清照,"[7,13,20,33,40,47,54,67]"
青玉案,曹组,"[7,13,20,33,40,48,55,68]"
青玉案,毛滂,"[7,13,20,27,33,40,48,55,62,68]"
青玉案,赵长卿,"[7,12,19,27,32,39,46,53,61,66]"
青玉案,赵长卿,"[7,14,21,34,41,48,55,68]"
感皇恩,晁冲之,"[9,14,16,26,34,42,47,49,59,67]"
感皇恩,贺铸,"[9,14,16,26,31,34,42,47,49,59,64,67]"
感皇恩,周邦彦,"[9,16,26,34,42,49,59,68]"
感皇恩,周紫芝,"[9,16,26,34,43,50,60,68]"
感皇恩,赵长卿,"[9,16,26,33,41,48,58,65]"
感皇恩,汪莘,"[8,15,25,33,41,48,58,66]"
凤凰阁,叶清臣,"[9,16,26,33,43,50,60,67]"
凤凰阁,赵师侠,"[9,16,26,33,43,50,60,67]"
看花回,柳永,"[7,11,25,34,41,45,58,67]"
看花回,黄庭坚,"[10,25,36,50,57,64,79,90,101]"
看花回,周邦彦,"[10,25,36,50,57,64,79,90,101]"
看花回,蔡伸,"[10,25,36,50,57,64,79,90,101]"
看花回,赵彦端,"[2,11,17,26,37,51,58,65,80,91,103]"
看花回,赵彦端,"[2,11,17,26,37,51,58,65,80,91,104]"
看花回,赵彦端,"[11,17,26,37,51,58,65,80,91,104]"
殢人娇,杨无咎,"[10,17,26,35,43,50,59,68]"
殢人娇,王庭珪,"[10,17,26,35,42,49,58,67]"
殢人娇,张智宗,"[8,15,24,33,41,48,57,66]"
殢人娇,毛滂,"[8,15,23,32,40,47,55,64]"
两同心,杨无咎,"[8,22,25,33,39,43,57,60,68]"
两同心,柳永,"[4,25,28,36,42,46,60,63,71]"
两同心,晏几道,"[8,22,33,39,43,57,68]"
两同心,黄庭坚,"[4,8,22,33,39,43,57,68]"
两同心,杜安世,"[9,16,23,35,41,58,82]"
连理枝,邵叔齐,"[5,10,23,36,41,46,59,72]"
月上海棠,段克己,"[7,15,27,36,43,51,63,72]"
月上海棠,段克己,"[7,14,25,34,41,49,61,70]"
月上海棠,姜夔,"[13,22,35,46,48,60,69,82,91]"
月上海棠,陈允平,"[13,22,35,46,48,60,69,82,91]"
惜黄花,许冲元,"[4,8,18,28,35,43,53,63,70]"
西施,柳永,"[7,12,22,36,49,59,73]"
小镇西犯,柳永,"[9,16,19,38,41,50,57,60,79]"
小镇西犯,蔡伸,"[9,16,19,32,38,41,50,57,60,73,79]"
千秋岁,周紫芝,"[4,9,15,25,28,35,40,45,51,61,64,71]"
千秋岁,石孝友,"[4,9,12,15,25,28,35,40,45,48,51,61,64,71]"
千秋岁,叶梦得,"[9,15,25,28,35,40,45,51,61,64,71]"
千秋岁,晁补之,"[9,15,25,35,45,51,61,71]"
千秋岁,欧阳修,"[4,9,16,26,36,41,46,52,62,72]"
千秋岁,叶梦得,"[4,9,16,26,29,36,41,46,52,62,65,72]"
千秋岁,无名氏,"[4,9,16,26,36,46,52,62,72]"
惜奴娇,史达祖,"[10,17,27,29,36,46,53,63,65,72]"
惜奴娇,无名氏,"[9,16,26,35,45,52,62,71]"
惜奴娇,无名氏,"[4,10,16,22,32,34,41,45,49,55,61,71,73,80]"
惜奴娇,无名氏,"[6,13,27,38,45,50,52,57,65,79,90,97,102]"
三登乐,罗子衎,"[17,28,36,41,52,63,72]"
忆帝京,黄庭坚,"[7,13,24,35,42,49,56,65,70,76]"
于飞乐,张先,"[10,17,27,38,45,52,62,73]"
于飞乐,毛滂,"[10,17,27,38,48,55,65,76]"
撼庭竹,王诜,"[7,12,19,26,36,48,55,62,72]"
粉蝶儿,曹冠,"[10,17,27,36,46,53,63,72]"
隔浦莲近拍,赵彦端,"[6,11,22,27,30,35,38,48,58,65,67,73]"
隔浦莲近拍,吴文英,"[6,11,22,27,35,38,48,58,65,67,73]"
隔浦莲近拍,陆游,"[6,11,22,27,35,38,48,58,65,67,73]"
隔浦莲近拍,彭元逊,"[6,11,16,22,27,35,38,48,58,65,73]"
临江仙引,柳永,"[2,4,10,16,26,39,52,62,74]"
碧牡丹,程垓,"[5,11,21,30,36,39,44,50,60,69,75]"
风入松,赵彦端,"[7,11,24,36,43,47,60,72]"
风入松,康与之,"[7,11,24,36,43,47,61,73]"
风入松,吴文英,"[7,12,26,38,45,50,64,76]"
传言玉女,曾觌,"[10,19,29,37,47,56,66,74]"
传言玉女,《乐府雅词》袁裪,"[10,19,29,37,46,55,65,73]"
剔银灯,毛滂,"[6,12,26,30,37,43,49,63,67,74]"
剔银灯,杜安世,"[6,13,27,31,38,44,51,65,69,76]"
剔银灯,范仲淹,"[6,13,27,39,45,52,66,78]"
剔银灯,衷长吉,"[7,13,28,32,39,46,52,67,71,78]"
长生乐,晏殊,"[12,21,31,42,50,57,64,75]"
诉衷情近,柳永,"[22,37,40,46,55,58,70,75]"
诉衷情近,晁补之,"[10,22,37,40,46,55,58,70,75]"
下水船,贺铸,"[5,11,21,24,30,36,39,44,50,54,60,63,69,75]"
下水船,晁补之,"[5,11,21,36,50,60,69,75]"
下水船,晁补之,"[5,11,21,24,30,36,44,61,64,70,76]"
解蹀躞,杨无咎,"[6,11,20,36,39,45,50,59,75]"
解蹀躞,吴文英,"[11,20,36,39,50,59,75]"
解蹀躞,方千里,"[11,20,36,39,45,50,59,75]"
解蹀躞,曹勋,"[11,20,36,39,45,50,59,75]"
解蹀躞,杨无咎,"[11,20,36,39,45,50,59,75]"
扑蝴蝶,赵师侠,"[9,18,30,36,39,48,57,69,75]"
扑蝴蝶,邵叔齐,"[9,18,30,36,39,50,59,71,77]"
扑蝴蝶,丘崈,"[4,9,13,18,30,36,39,50,59,71,77]"
千年调,曹组,"[10,20,29,38,47,57,66,77]"
荔枝香,周邦彦,"[9,20,31,39,48,58,69,75]"
荔枝香,方千里,"[6,9,20,31,40,49,59,70,76]"
荔枝香,杨泽民,"[6,9,20,31,33,40,43,49,59,70,76]"
荔枝香,陈允平,"[9,20,31,40,49,59,70,76]"
荔枝香,吴文英,"[9,20,31,40,43,49,59,70]"
荔枝香,吴文英,"[9,20,31,40,49,59,70,76]"
荔枝香,周邦彦,"[9,29,37,46,56,67,73]"
荔枝香,杨泽民,"[9,29,31,37,46,56,67,73]"
荔枝香,陈允平,"[9,29,37,46,56,67,73]"
婆罗门引,李俊民,"[11,17,28,37,47,57,69,76]"
婆罗门引,吴文英,"[11,17,28,37,47,57,61,69,76]"
婆罗门引,无名氏,"[11,18,29,38,42,48,58,69,76]"
御街行,张先,"[7,13,26,39,46,51,64,77]"
御街行,范钟淹,"[7,13,26,39,46,52,65,77]"
御街行,高观国,"[7,13,27,41,48,54,68,81]"
御街行,无名氏,"[7,13,20,26,39,46,52,65,80]"
祝英台近,史达祖,"[11,20,30,37,40,51,60,77]"
祝英台近,韩淲,"[11,20,37,40,51,60,70,77]"
祝英台近,张炎,"[11,20,30,37,40,51,60,70,77]"
祝英台近,刘过,"[6,11,20,37,40,51,60,77]"
祝英台近,辛弃疾,"[6,11,20,37,40,51,60,70,77]"
祝英台近,岳珂,"[6,11,20,30,37,40,51,60,70,77]"
祝英台近,陈允平,"[11,20,37,40,51,60,77]"
四园竹,杨泽民,"[9,21,42,45,57,71,87]"
四园竹,陈允平,"[9,21,42,45,57,87]"
侧犯,姜夔,"[4,11,13,21,31,33,41,50,53,61,69,77]"
侧犯,方千里,"[11,13,21,31,33,41,50,53,61,69,71,77]"
侧犯,陈允平,"[11,13,21,31,41,50,53,60,68,76]"
离亭宴,张昇,"[6,12,25,36,42,48,61,72]"
山亭柳,杜安世,"[8,14,25,36,43,50,56,67,79]"
金人捧露盘,程垓,"[9,16,27,38,50,57,68,79]"
金人捧露盘,辛弃疾,"[9,16,27,37,49,56,67,78]"
金人捧露盘,辛弃疾,"[3,9,16,27,37,49,56,67,78]"
金人捧露盘,贺铸,"[3,9,16,28,39,51,58,70,81]"
过涧歇,晁补之,"[2,25,36,46,57,66,85]"
过涧歇,柳永,"[2,11,17,20,36,41,52,61,69,80]"
安公子,柳永,"[5,12,24,34,42,53,58,65,77,87,95,106]"
安公子,袁去华,"[5,12,24,34,42,53,58,65,77,87,95,106]"
安公子,晁补之,"[5,12,23,33,41,52,57,64,75,85,93,104]"
安公子,杜安世,"[5,12,23,30,33,41,53,58,65,76,83,86,94,106]"
安公子,陆游,"[5,12,23,32,40,51,56,63,74,83,91,102]"
柳初新,无名氏,"[7,13,27,34,41,47,54,68,75,82]"
斗百花,柳永,"[24,40,45,55,65,81]"
斗百花,晁补之,"[6,12,18,24,40,45,55,65,81]"
最高楼,方岳,"[8,13,29,38,46,54,60,76,85]"
最高楼,元好问,"[8,13,27,36,44,51,57,71,80]"
最高楼,司马昂父,"[9,14,29,38,46,54,60,74,83]"
最高楼,毛滂,"[8,14,28,37,45,53,59,73,82]"
最高楼,陈亮,"[8,14,28,37,69,83,92]"
最高楼,毛滂,"[8,14,28,37,59,73,82]"
最高楼,程垓,"[9,15,29,38,46,54,60,74,83]"
最高楼,无名氏,"[9,15,29,38,54,60,74,83]"
最高楼,柳富,"[9,15,29,38,43,56,69,78]"
最高楼,无名氏,"[8,15,29,38,45,52,59,73,82]"
倒垂柳,杨无咎,"[5,11,21,31,42,46,53,63,72,81]"
拂霓裳,晏殊,"[3,11,21,31,42,52,55,62,72,75,83]"
蓦山溪,姜夔,"[4,9,21,41,50,62,82]"
蓦山溪,张震,"[9,21,41,45,50,62,82]"
蓦山溪,张震,"[4,9,21,41,45,50,62,82]"
蓦山溪,易祓,"[9,21,36,41,50,62,77,82]"
蓦山溪,周邦彦,"[9,21,33,36,41,50,62,74,77,82]"
蓦山溪,贺铸,"[4,9,21,36,41,50,62,77,82]"
蓦山溪,万俟咏,"[4,9,21,36,41,45,50,62,77,82]"
蓦山溪,黄庭坚,"[9,21,33,36,41,45,50,62,74,77,82]"
蓦山溪,晁端礼,"[4,9,21,33,36,41,50,62,74,77,82]"
蓦山溪,石孝友,"[4,9,21,33,36,41,45,50,62,74,77,82]"
蓦山溪,欧阳修,"[9,21,41,50,62,74,77,82]"
蓦山溪,陆游,"[9,22,42,51,63,83]"
千秋岁引,李冠,"[8,15,30,39,46,53,60,75,84]"
千秋岁引,无名氏,"[9,16,23,30,39,47,55,62,69,76,79,88]"
千秋岁引,无名氏,"[9,17,32,41,48,55,63,83,92]"
早梅芳,李之仪,"[8,13,24,34,42,48,53,64,74,82]"
早梅芳,无名氏,"[6,11,22,32,42,48,53,64,74,82]"
新荷叶,赵彦端,"[10,20,31,41,45,51,61,72,82]"
新荷叶,赵抃,"[10,20,31,41,51,61,72,82]"
新荷叶,赵长卿,"[10,20,31,41,51,61,72,82]"
长寿乐,柳永,"[4,13,27,39,57,60,69,83,95,113]"
迷仙引,春阴霁,"[3,11,18,21,30,38,50,54,67,72,78,89,95,103,106,114,122]"
促拍花满路,廖行之,"[10,17,26,41,50,57,66,81]"
促拍花满路,吕渭老,"[10,18,27,36,42,51,59,68,77,83]"
促拍花满路,无名氏,"[10,18,27,42,49,54,62,71,86]"
促拍花满路,赵师侠,"[10,18,27,42,49,54,62,71,80,86]"
促拍花满路,曹勋,"[10,18,27,42,49,54,62,71,87]"
促拍花满路,秦观,"[5,10,18,27,32,42,46,51,59,68,73,83]"
促拍花满路,周邦彦,"[10,18,27,32,42,51,59,68,73,83]"
促拍花满路,袁去华,"[5,10,18,28,33,43,51,56,62,72,86]"
促拍花满路,辛弃疾,"[5,10,18,28,33,44,51,56,64,74,79,90]"
促拍花满路,牛真人,"[5,11,19,28,43,48,54,62,72,88]"
洞仙歌,葛郯,"[4,9,16,34,50,66,83]"
洞仙歌,张炎,"[9,16,33,38,49,65,82]"
洞仙歌,辛弃疾,"[9,16,34,50,66,83]"
洞仙歌,汪元量,"[4,9,16,34,39,50,59,66,83]"
洞仙歌,刘一止,"[9,16,33,49,65,82]"
洞仙歌,赵长卿,"[9,16,34,39,50,66,83]"
洞仙歌,京镗,"[9,16,34,50,65,82]"
洞仙歌,吴文英,"[9,16,34,50,65,82]"
洞仙歌,晏几道,"[9,16,34,50,67,84]"
洞仙歌,李元膺,"[9,16,28,34,50,67,84]"
洞仙歌,无名氏,"[9,16,22,35,40,51,67,84]"
洞仙歌,黄裳,"[9,16,34,50,66,84]"
洞仙歌,周紫芝,"[9,16,35,51,67,84]"
洞仙歌,晁补之,"[9,16,34,50,67,84]"
洞仙歌,阮阅,"[9,16,33,49,67,84]"
洞仙歌,京镗,"[9,16,34,50,68,85]"
洞仙歌,刘子寰,"[9,16,34,39,50,68,85]"
洞仙歌,卢祖皋,"[4,9,16,34,39,50,68,85]"
洞仙歌,李元膺,"[9,16,28,34,50,62,68,85]"
洞仙歌,无名氏,"[4,9,16,28,34,50,62,68,85]"
洞仙歌,晁补之,"[4,9,16,28,34,39,50,62,68,85]"
洞仙歌,李邴,"[9,16,35,51,68,85]"
洞仙歌,无名氏,"[9,16,25,28,34,49,68,85]"
洞仙歌,黄庭坚,"[9,16,35,51,68,85]"
洞仙歌,晁补之,"[9,16,34,50,68,85]"
洞仙歌,吴文英,"[9,16,34,50,69,86]"
洞仙歌,蔡伸,"[4,9,16,35,51,69,86]"
洞仙歌,林外,"[9,16,34,38,43,50,69,86]"
洞仙歌,无名氏,"[9,16,35,51,69,86]"
洞仙歌,赵长卿,"[9,16,34,50,69,86]"
洞仙歌,康与之,"[4,9,16,35,51,70,87]"
洞仙歌,赵长卿,"[9,16,36,40,45,52,71,88]"
洞仙歌,潘牥,"[9,16,35,51,71,88]"
洞仙歌,无名氏,"[9,16,23,30,47,62,76,93]"
洞仙歌,柳永,"[13,22,29,38,47,49,72,79,89,98,102,108,111,118]"
洞仙歌,柳永,"[12,22,40,49,51,61,75,93,102,106,113,123]"
洞仙歌,柳永,"[5,14,23,30,38,41,51,53,77,84,92,95,105,108,114,126]"
洞仙歌,晁补之,"[12,22,40,49,78,96,105,109,116,119,126]"
洞仙歌,晁补之,"[4,13,23,41,50,52,76,94,103,107,111,114,117,124]"
踏歌,无名氏,"[2,10,18,26,28,36,44,52,59,67,77,84]"
秋夜月,柳永,"[4,13,23,35,41,45,55,65,75,83]"
祭天神,柳永,"[8,21,32,45,57,68,85]"
鹤冲天,杜安世,"[4,9,17,28,33,43,52,60,71,76,86]"
鹤冲天,柳永,"[4,9,17,28,33,43,53,61,73,78,88]"
踏青游,陈济翁,"[10,17,27,30,42,52,59,69,84]"
踏青游,王诜,"[10,17,27,42,52,59,69,84]"
踏青游,无名氏,"[10,17,26,29,35,41,51,58,68,71,83]"
梦玉人引,李甲,"[10,20,32,41,53,63,72,84]"
梦玉人引,朱敦儒,"[10,20,32,41,53,63,72,84]"
梦玉人引,范成大,"[10,20,33,42,54,64,73,85]"
梦玉人引,吕渭老,"[10,20,31,40,52,62,72,82]"
清波引,张炎,"[4,11,15,20,25,31,43,47,53,57,62,67,73,83]"
离别难,柳永,"[11,18,26,41,55,61,68,98,112]"
江城梅花引,赵汝茪,"[7,10,26,42,44,53,56,67,74,83,99]"
江城梅花引,蒋捷,"[7,10,26,42,54,57,60,71,80,96]"
江城梅花引,吴文英,"[7,10,13,22,32,38,45,48,51,62,71,81,87]"
江城梅花引,周密,"[7,10,13,22,38,45,51,62,71,87]"
江城梅花引,王观,"[7,10,13,22,38,77,86,102]"
江城梅花引,周密,"[7,10,13,22,38,72,81,97]"
江城梅花引,李献能,"[7,10,13,22,37,55,66,75,90]"
劝金船,张先,"[7,12,19,24,36,46,53,58,70,82,92]"
醉思仙,孙道恂,"[3,12,21,33,45,56,65,77,89]"
醉思仙,朱敦儒,"[3,12,21,34,46,57,66,79,91]"
醉思仙,曹勋,"[3,12,21,34,46,57,66,79,91]"
惜红衣,李莱老,"[8,12,22,33,35,44,48,57,63,66,78,89]"
惜红衣,吴文英,"[12,21,34,43,47,56,65,77,88]"
惜红衣,张炎,"[12,21,32,34,43,56,65,77,88]"
鱼游春水,赵闻礼,"[5,12,22,29,36,44,50,57,67,74,81,89]"
卜算子慢,张先,"[14,24,26,34,47,52,61,71,73,81,93]"
雪狮儿,张雨,"[15,25,29,36,47,53,62,72,76,83,86,92]"
八六子,晁补之,"[3,13,32,38,50,67,82,85,91]"
八六子,杨缵,"[3,13,30,36,48,67,79,82,89]"
八六子,秦观,"[3,13,30,36,48,79,82,88]"
八六子,李演,"[13,26,30,36,48,79,82,88]"
八六子,王沂孙,"[3,13,26,30,32,36,48,79,82,88]"
采桑子慢,蔡伸,"[26,87,91,98,110]"
采桑子慢,潘元质,"[26,37,49,61,72,83,95]"
采桑子慢,辛弃疾,"[10,21,49,61,72,83,95]"
采桑子慢,无名氏,"[26,37,49,61,72,82,94]"
探芳信,吴文英,"[3,12,22,34,45,59,69,81,90]"
探芳信,吴文英,"[3,12,22,34,45,50,59,69,81,90]"
探芳信,吴文英,"[3,12,22,34,45,50,59,68,80,89]"
夏云峰,曹勋,"[12,22,33,44,50,59,69,80,91]"
夏云峰,张元幹,"[12,22,33,44,50,59,69,80,91]"
夏云峰,无名氏,"[12,22,33,44,50,59,69,80,91]"
夏云峰,赵长卿,"[3,12,22,33,44,50,59,69,80,91]"
法曲献仙音,姜夔,"[14,28,34,39,42,49,58,70,81,92]"
法曲献仙音,姜夔,"[14,28,39,42,58,70,81,92]"
法曲献仙音,李彭老,"[14,28,39,42,58,70,81,92]"
法曲献仙音,柳永,"[14,28,38,41,56,67,78,91]"
法曲献仙音,柳永,"[14,28,38,41,56,65,76,87]"
金盏倒垂莲,无名氏,"[13,22,35,45,60,69,82,92]"
金盏倒垂莲,曹勋,"[13,22,35,45,51,60,64,69,82,92]"
露华,王沂孙,"[13,23,36,47,62,72,85,94]"
满江红,张元幹,"[11,22,29,36,47,53,59,68,75,82,93]"
满江红,戴复古,"[11,22,36,47,50,53,59,68,82,93]"
满江红,吕渭老,"[11,20,34,45,51,57,66,80,91]"
满江红,吕渭老,"[11,18,32,43,49,55,64,78,89]"
满江红,苏轼,"[11,22,36,47,53,59,68,83,94]"
满江红,赵鼎,"[11,22,36,47,53,59,68,83,94]"
满江红,辛弃疾,"[11,23,37,48,54,60,69,83,94]"
满江红,柳永,"[11,22,30,38,49,55,61,70,78,86,97]"
满江红,杜衍,"[12,23,37,48,54,60,69,83,94]"
满江红,叶梦得,"[11,20,34,45,51,57,66,80,91]"
满江红,王之道,"[11,22,29,36,47,53,59,63,67,74,81,92]"
满江红,姜夔,"[11,22,36,47,53,59,68,82,93]"
凄凉犯,张炎,"[13,25,29,36,48,61,72,83,93]"
凄凉犯,张炎,"[14,26,30,37,49,62,73,84,94]"
四犯剪梅花,刘过,"[4,13,22,26,33,45,52,61,70,74,81,93]"
四犯剪梅花,卢祖皋,"[4,13,22,26,33,45,51,60,69,73,80,92]"
玉漏迟,吴文英,"[5,13,23,36,39,47,62,72,85,88,94]"
玉漏迟,张翥,"[5,13,23,36,39,47,49,62,72,85,88,94]"
玉漏迟,吴文英,"[13,23,36,39,47,62,72,85,88,94]"
玉漏迟,程垓,"[13,23,36,39,47,62,72,85,88,96]"
玉漏迟,蒋捷,"[5,13,23,36,39,47,62,72,84,87,93]"
玉漏迟,滕宾,"[5,12,22,35,38,46,58,68,81,84,90]"
尾犯,蒋捷,"[13,22,36,49,61,70,84,95]"
尾犯,柳永,"[4,13,25,35,48,54,60,73,78,85,98]"
尾犯,晁补之,"[4,13,25,35,49,55,61,74,79,86,99]"
尾犯,无名氏,"[4,13,25,29,36,49,55,62,75,80,87,100]"
雪梅香,无名氏,"[10,21,35,46,59,69,83,94]"
六幺令,贺铸,"[9,20,26,31,35,46,52,57,68,74,79,83,94]"
六幺令,陈允平,"[9,20,31,35,46,57,68,79,83,94]"
惜秋华,吴文英,"[9,13,23,36,52,57,66,76,89,91,98]"
惜秋华,吴文英,"[13,23,36,47,52,61,71,84,86,93]"
一枝春,张炎,"[13,23,34,37,47,53,62,72,83,94]"
塞孤,朱雍,"[8,14,21,27,39,46,56,62,69,74,86,93]"
水调歌头,周紫芝,"[10,21,38,48,57,68,85,95]"
水调歌头,苏轼,"[10,21,33,38,48,57,68,85,95]"
水调歌头,贺铸,"[15,31,58,73,87,103,130,145]"
水调歌头,王之道,"[10,23,40,50,59,70,87,97]"
水调歌头,张孝祥,"[10,21,38,48,57,70,87,97]"
水调歌头,刘因,"[10,21,38,48,57,69,86,96]"
水调歌头,傅公谋,"[10,21,38,48,56,67,84,94]"
扫地游,杨无咎,"[13,17,26,36,39,48,53,62,66,75,85,88,95]"
扫地游,王沂孙,"[13,17,26,36,39,47,52,61,65,74,84,87,94]"
满庭芳,周邦彦,"[14,23,36,48,50,61,70,83,95]"
满庭芳,黄公度,"[14,23,35,47,49,60,69,81,93]"
满庭芳,程垓,"[15,24,37,49,62,71,84,96]"
满庭芳,赵长卿,"[14,23,37,49,62,70,84,96]"
满庭芳,元好问,"[14,23,36,48,61,70,83,96]"
满庭芳,无名氏,"[14,23,36,48,62,71,84,96]"
徵招,张炎,"[13,23,35,47,61,71,83,95]"
徵招,彭元逊,"[13,17,23,35,47,61,71,83,95]"
黄莺儿,晁补之,"[7,24,35,49,51,61,75,86,97]"
黄莺儿,无名氏,"[7,23,34,48,50,60,74,84,95]"
天香,王观,"[14,28,39,51,57,64,74,88,96]"
天香,毛滂,"[14,28,39,51,57,64,74,80,88,96]"
天香,吴文英,"[14,28,39,51,57,64,74,80,88,96]"
天香,刘儗,"[14,28,39,51,63,73,87,95]"
天香,景覃,"[14,28,39,51,57,64,74,88,96]"
天香,景覃,"[4,8,14,28,39,51,57,64,74,88,96]"
汉宫春,无名氏,"[13,23,34,47,62,72,83,96]"
汉宫春,无名氏,"[13,23,34,48,63,73,84,97]"
汉宫春,彭元逊,"[13,23,34,46,60,70,81,94]"
汉宫春,张先,"[4,13,23,34,47,53,62,72,83,96]"
汉宫春,沈会宗,"[4,13,23,34,47,53,62,72,83,96]"
汉宫春,京镗,"[4,13,23,34,47,62,72,83,96]"
汉宫春,康与之,"[13,23,34,47,53,62,72,83,96]"
汉宫春,无名氏,"[13,23,27,34,47,49,62,72,76,83,94]"
倦寻芳,潘元质,"[12,22,36,48,63,73,87,97]"
塞垣春,方千里,"[5,11,23,31,37,48,60,70,85,95]"
塞垣春,杨泽民,"[5,11,23,31,37,48,60,70,85,95]"
塞垣春,吴文英,"[5,11,23,31,37,49,63,73,88,98]"
步月,施岳,"[8,14,23,37,48,53,62,71,85,94]"
八声甘州,张炎,"[8,13,26,37,46,61,71,86,97]"
八声甘州,刘过,"[13,23,34,43,58,68,83,95]"
八声甘州,汤恢,"[13,26,36,45,60,69,84,95]"
八声甘州,萧列,"[13,26,37,46,61,71,84,95]"
八声甘州,姚云文,"[8,13,26,37,46,61,71,87,98]"
八声甘州,郑子玉,"[13,26,37,46,61,71,85,96]"
迷神引,朱雍,"[7,13,21,27,30,35,38,46,55,62,72,81,89,97]"
醉蓬莱,苏轼,"[13,22,35,47,63,72,85,97]"
凤凰台上忆吹箫,曹勋,"[14,25,38,49,51,64,75,88,97]"
凤凰台上忆吹箫,张台卿,"[14,24,37,49,64,74,87,97]"
凤凰台上忆吹箫,吴元可,"[14,24,37,48,63,74,87,96]"
凤凰台上忆吹箫,李清照,"[14,23,36,47,49,62,71,84,95]"
凤凰台上忆吹箫,张翥,"[14,23,36,47,62,71,84,95]"
夜合花,史达祖,"[14,24,30,37,49,55,65,75,81,88,100]"
夜合花,高观国,"[14,24,30,37,49,51,55,65,75,81,88,100]"
夜合花,曹勋,"[14,24,30,37,49,55,65,75,88,100]"
夜合花,孙惟信,"[14,24,30,37,49,55,64,74,80,87,99]"
庆清朝,史达祖,"[14,24,37,48,63,73,86,97]"
庆清朝,曹勋,"[14,24,37,48,63,73,86,97]"
庆清朝,李清照,"[14,24,37,48,63,73,86,97]"
瑶台第一层,张元幹,"[12,24,36,48,50,62,74,86,89,98]"
瑶台第一层,赵与御,"[4,12,24,37,49,51,62,74,86,89,98]"
暗香,张炎,"[4,13,24,37,49,51,54,63,67,74,87,97]"
长亭怨慢,周密,"[7,15,26,30,36,48,50,61,72,86,97]"
长亭怨慢,张炎,"[7,15,26,30,37,48,50,55,61,65,72,86,97]"
长亭怨慢,张炎,"[15,26,37,48,50,61,72,86,97]"
留客住,周邦彦,"[3,20,46,49,58,68,78,94]"
昼夜乐,无名氏,"[7,13,25,32,39,49,56,62,74,81,88,98]"
雨中花慢,张孝祥,"[14,24,36,49,63,74,86,98]"
雨中花慢,刘褒,"[14,25,37,50,64,75,87,99]"
雨中花慢,柳永,"[14,23,36,49,64,73,87,100]"
雨中花慢,吴礼之,"[14,23,35,48,62,73,85,97]"
雨中花慢,京镗,"[14,23,35,47,61,72,84,96]"
雨中花慢,高观国,"[14,24,36,49,63,74,86,98]"
雨中花慢,葛立方,"[14,23,35,48,62,73,85,97]"
雨中花慢,无名氏,"[14,23,35,47,61,72,84,96]"
雨中花慢,秦观,"[14,23,35,48,62,73,85,98]"
雨中花慢,无名氏,"[14,24,36,49,63,74,86,98]"
