词牌名,作者,韵律,中,平,仄,总数,分段字数
解红 ,和凝,仄仄仄，仄平平。仄平仄仄平仄平。仄仄平平仄平仄，仄平仄仄仄平平。,0,11,16,27,"[3, 3, 7, 7, 7]"
赤枣子 ,欧阳炯,仄仄仄，仄平平。平平平仄仄平平。平仄仄平平仄仄，平平仄仄仄平平。,0,14,13,27,"[3, 3, 7, 7, 7]"
南乡子 ,欧阳炯,仄仄平平。仄平平仄仄平平。仄仄平平平仄仄。平仄。仄仄平平平仄仄。,0,13,14,27,"[4, 7, 7, 2, 7]"
南乡子 ,欧阳炯,仄仄平平。平平仄仄仄平平。仄仄平平平仄仄。平平仄。仄仄平平平仄仄。,0,14,14,28,"[4, 7, 7, 3, 7]"
南乡子 ,冯延巳,仄仄仄平平。平仄平平仄仄平。平仄仄平平仄仄。平仄。仄仄平平平仄仄。,0,13,15,28,"[5, 7, 7, 2, 7]"
南乡子 ,李珣,平仄仄，仄平平。仄平平仄仄平平。仄仄平平平仄仄。平平仄。平仄仄平平仄仄。,0,15,15,30,"[3, 3, 7, 7, 3, 7]"
南乡子 ,欧阳修,仄仄平平。仄仄平平仄仄平。仄仄平平平仄仄，平平。仄仄平平仄仄平。仄仄平平。仄仄平平仄仄平。平仄仄平平仄仄，平平。平仄平平仄仄平。,0,27,27,54,"[4, 7, 7, 2, 7, 4, 7, 7, 2, 7]"
南乡子 ,冯延巳,仄仄仄平平。平仄平平仄仄平。平仄仄平平仄仄，平平。平仄平平仄仄平。平仄仄平平。仄仄平平仄仄平。仄仄仄平平仄仄，平平。仄仄平平仄仄平。,0,28,28,56,"[5, 7, 7, 2, 7, 5, 7, 7, 2, 7]"
南乡子 ,王之道,平仄仄平平。平仄平平仄仄平。平仄平平，平仄仄平平。仄仄平平仄仄平。平仄仄平平。仄仄平平仄仄平。仄仄仄平，平仄仄平平。仄仄平平仄仄平。,0,29,27,56,"[5, 7, 4, 5, 7, 5, 7, 4, 5, 7]"
南乡子 ,黄机,平仄仄平平。平仄平平仄仄平。平仄仄平，平平仄仄，平平。仄仄平平仄仄平。仄仄仄平平。仄仄平平仄仄平。仄仄仄平，平平仄仄，平平。平仄平平仄仄平。,0,30,28,58,"[5, 7, 4, 4, 2, 7, 5, 7, 4, 4, 2, 7]"
南乡子 ,赵长卿,仄仄仄平平。平平仄仄，平仄平平。仄仄平平平仄仄，平平。仄仄平平仄仄平。平仄仄平平。平平仄仄，仄仄平平。平仄仄平平仄仄，平平。仄仄平平仄仄平。,0,30,28,58,"[5, 4, 4, 7, 2, 7, 5, 4, 4, 7, 2, 7]"
捣练子 ,冯延巳,平仄仄，仄平平。仄仄平平仄仄平。平仄仄平平仄仄，仄平平仄仄平平。,0,13,14,27,"[3, 3, 7, 7, 7]"
捣练子 ,李石,平仄仄，仄平平。仄平平仄仄平平。仄平平，仄仄平。平仄仄，仄平平。平平仄仄仄平平。仄平平，仄仄平。,0,20,18,38,"[3, 3, 7, 3, 3, 3, 3, 7, 3, 3]"
春晓曲 ,朱敦儒,平平仄仄平平仄。仄仄平平仄仄。仄平仄仄仄平平，仄仄仄平平仄仄。,0,11,16,27,"[7, 6, 7, 7]"
春晓曲 ,张元干,平平仄仄平平仄。仄平平，平仄仄。仄平平仄仄平平，仄仄平平平仄仄。,0,14,13,27,"[7, 3, 3, 7, 7]"
桂殿秋 ,向子諲,平仄仄，仄平平。平平仄仄仄平平。平平仄仄平平仄，仄仄平平仄仄平。,0,14,13,27,"[3, 3, 7, 7, 7]"
寿阳曲 ,张可久,平平仄，平仄平。仄平平、仄平平仄。平平仄平平仄仄。仄平平、仄平平仄。,0,16,11,27,"[3, 3, 3, 4, 7, 3, 4]"
寿阳曲 ,张可久,平平仄，仄仄仄。仄平平、仄平平仄。仄平平、仄平平仄仄。仄平平、仄平平仄。,0,14,14,28,"[3, 3, 3, 4, 3, 5, 3, 4]"
寿阳曲 ,张可久,仄仄平平仄，仄平平仄平。仄平平、仄平平仄。仄平平、仄平平仄仄。平仄仄、仄平平仄。,0,16,16,32,"[5, 5, 3, 4, 3, 5, 3, 4]"
阳关曲 ,王维,仄平平仄仄平平。仄仄平平仄仄平。仄平仄仄仄平仄，平仄平平平仄平。,0,14,14,28,"[7, 7, 7, 7]"
欸乃曲 ,元结,平仄平平平仄平。平平平仄仄平平。平平仄仄仄平仄，仄仄平平平仄平。,0,17,11,28,"[7, 7, 7, 7]"
采莲子 ,皇甫松,仄仄平平仄仄平。仄平平仄仄平平。仄平仄仄平平仄，仄仄平平仄仄平。,0,13,15,28,"[7, 7, 7, 7]"
浪淘沙 ,皇甫松,平平仄仄仄平平。平仄平平仄仄平。仄仄平平平仄仄，平平仄仄仄平平。,0,15,13,28,"[7, 7, 7, 7]"
杨柳枝 ,温庭筠,平仄平平仄仄平。仄平平仄仄平平。仄平仄仄平平仄，仄仄平平仄仄平。,0,14,14,28,"[7, 7, 7, 7]"
八拍蛮 ,孙光宪,仄仄仄平平仄平。仄平平仄仄平平。仄仄平平平仄仄，平平平仄仄平平。,0,15,13,28,"[7, 7, 7, 7]"
