词牌名,作者,韵律
风流子 ,孙光宪,平仄平平仄仄。仄仄平平仄仄。平仄仄，仄平平，仄仄仄平平仄。平仄。平仄。仄仄平平平仄。
风流子 ,周邦彦,平平平仄仄，平平仄、仄仄仄平平。仄仄平仄仄，仄平平仄，仄平平仄，平仄平平。仄平仄、仄平平仄仄，平仄仄平平。平仄仄平，仄平平仄，仄平平仄，平仄平平。平平平平仄，平平仄、平仄仄仄平平。平仄仄平平仄，平仄平平。仄仄仄平平，平平平仄，仄平平仄，仄仄平平。平仄仄平仄仄，平仄平平。
风流子 ,张耒,平平仄仄仄，平平仄、仄仄仄平平。仄平仄仄平，仄平平仄，仄平平仄，平仄平平。仄平仄、仄平平仄仄，平仄仄平平。平仄仄平，仄平平仄，仄平平仄，平仄平平。仄平平平仄，平平仄仄仄，仄仄平平。平仄仄平平仄，平仄平平。仄平平仄仄，平平仄仄，仄平仄仄，平仄平平。平仄仄平平仄，平仄平平。
风流子 ,王之道,平平平仄仄，平平仄、平仄仄平平。仄仄仄平平，仄平平仄，仄平平仄，平仄平平。平仄仄、仄平平仄仄，平仄仄平平。仄仄仄平平，仄平仄仄，仄平仄仄，平仄平平。平平平平仄，仄平平平仄，仄仄平平。平仄仄平平仄，平仄平平。仄平平平仄，平平仄仄，平平仄仄，平仄平平。平仄仄平平仄，平仄平平。
风流子 ,王千秋,仄仄仄平仄，平平仄、平仄仄平平。仄平平平仄，仄平平仄，仄平平仄，仄仄平平。仄平平、仄平平仄仄，仄仄仄平平。仄仄仄平，平平平仄，仄平平仄，仄仄平平。平平平仄仄，平平仄，平仄仄，仄平平。仄仄平平平仄，平仄平平。仄平平仄仄，仄平平仄，仄平平仄，平仄平平。平仄仄平平仄，平仄平平。
风流子 ,周邦彦,平仄仄平平。平平仄、仄仄仄平平。仄平仄仄平，仄平平仄，仄平平仄，平仄平平。仄仄仄平平仄仄，仄仄仄平平。仄仄仄平，仄平平仄，仄平平仄，平仄平平。平平平平仄，平平仄、平仄仄仄平平。仄仄仄平，平平仄仄平平。仄仄平仄仄，平平仄仄，仄平平仄，平仄平平。平仄平平，仄平平仄平平。
风流子 ,吴文英,平仄仄平平。平平仄、仄仄仄平平。仄平仄仄平，仄平平仄，仄平仄仄，仄仄平平。仄仄仄平平仄仄，平仄仄平平。平仄仄平，仄平平仄，仄平平仄，平仄平平。平平平平仄，平平仄、平仄仄仄平平。仄仄仄平平仄，平仄平平。仄仄仄平平，平平平仄，仄平平仄，平仄平平。平仄仄平平仄，平仄平平。
风流子 ,贺铸,平仄仄平平。平平仄、仄仄仄平平。仄仄仄平，仄平平仄，平平平仄，仄仄平平。仄平仄、仄平平仄仄，仄仄仄平平。平仄仄平，仄平平仄，仄平仄仄，仄仄平平。平仄仄平平。平平仄平仄，仄仄平平。平仄仄平平仄，平仄平平。仄仄平平，平平仄仄，仄平平仄，仄仄平平。仄仄仄平平仄，平仄平平。
风流子 ,吴激,平仄仄平平。平平仄、仄仄仄平平。仄平仄仄平，仄平平仄，仄平平仄，平仄平平。仄平仄、仄平平仄仄，平仄仄平平。仄仄仄平，仄平平仄，仄平平仄，平仄平平。平仄仄平平。平平仄平仄，仄仄仄平平。仄仄仄平平仄，仄仄平平。仄仄仄平平，平平仄仄，仄平平仄，平仄平平。仄仄仄平平仄，平仄平平。
归自谣 ,欧阳修,平仄仄。平仄仄平平仄仄。仄平平仄平平仄。平平仄仄平仄仄。平平仄。仄平仄仄平平仄。
饮马歌 ,曹勛,平平平仄仄。仄仄平平仄。仄平平平仄。仄平平平仄。仄平平，仄仄平，仄仄平平仄。仄平仄。
定西番 ,温庭筠,仄仄仄平平仄。平仄仄，仄平平。仄平平。平仄仄平平仄。仄平平仄平。平仄仄平平仄。仄平平。
定西番 ,温庭筠,仄仄仄平平仄。平仄仄，仄平平。仄平平。平仄仄平平仄。仄平平仄平。平仄仄平平仄，仄平平。
定西番 ,韦庄,平仄平平平仄，平仄仄，仄平平。仄平平。平仄平平平仄。平平仄仄平。仄仄平平平仄。仄平平。
定西番 ,孙光宪,平仄平平平仄，平仄仄，仄平平。仄平平。仄仄平平仄仄，平平仄仄平。仄仄平平平仄，仄平平。
